genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
1,T.I.,Swagga Like Us (feat. Kanye West & Lil' Wayne),2kNtAwWATYkqV3CdT20RV0,56,0.00163,0.58,327667,0.817,0,E,0.118,-5.009,Major,0.214,89.008,4-Apr,0.238
1,Twista,Slow Jamz (feat. Kanye West & Jamie Foxx),1boHm9rjmvzxpJASd9dnGK,63,0.373,0.561,212147,0.764,0,D,0.157,-6.645,Minor,0.138,145.158,4-Apr,0.598
1,Lucidious,Face the Truth,0I8Nih3rolYzi74KyunXS1,58,0.0384,0.699,216094,0.755,0,G#,0.218,-7.177,Minor,0.213,128.194,4-Apr,0.204
1,lil aaron,Escalade,53o7TCHCgSfHRcwcJG3L6f,56,0.0173,0.648,178890,0.72,0,E,0.118,-6.843,Minor,0.0526,120.005,4-Apr,0.421
1,Isaiah Rashad,Ronnie Drake (feat. SZA),0zbu6qCs5kqT8q3Zo0QWym,55,0.356,0.482,198298,0.779,0,G#,0.173,-4.875,Minor,0.27,154.335,4-Apr,0.835
1,Ace Hood,Hustle Hard Remix,68LR4RQ7JLHwRodWxPOB0k,53,0.00557,0.831,285693,0.74,0,C#,0.302,-3.723,Major,0.152,140.041,4-Apr,0.21
1,Jack Harlow,DRIP DROP (feat. Cyhi The Prynce),19wtw9FEDtbf5z9p5KDCy9,53,0.127,0.673,203613,0.502,0,D,0.103,-6.645,Major,0.432,99.013,4-Apr,0.349
1,NxWorries,Get Bigger / Do U Luv,39IFzRUWJACL8YZ8t58bOc,54,0.242,0.517,243973,0.774,2.56E-05,A#,0.225,-6.925,Minor,0.323,77.874,4-Apr,0.817
1,NAV,My Mind,4TucnqHh162g9sgIoC7Mh1,56,0.0448,0.729,161107,0.716,0,G#,0.244,-5.618,Minor,0.0873,143.063,4-Apr,0.604
1,Flipp Dinero,Play Fair,2vi7FYjJUARm2ywcXVaLII,56,0.118,0.534,226000,0.505,0,D,0.33,-8.11,Major,0.248,120.066,4-Apr,0.06
1,Plies,Ran Off On Da Plug Twice,0I6wh8pETh9PS7dVTzykQd,55,0.059,0.868,153347,0.444,0,G,0.0727,-7.122,Minor,0.301,159.973,4-Apr,0.395
1,Felly,Desert Eagle,1yYYIilGsCoijulZUZpllx,52,0.194,0.655,237480,0.404,0,G,0.198,-8.161,Minor,0.426,113.748,4-Apr,0.442
1,The Game,Wouldn't Get Far,39yRhjDdSTP4A7VehxBXDb,57,0.152,0.439,251040,0.756,0,E,0.412,-5.341,Minor,0.289,94.188,4-Apr,0.686
1,Kid Cudi,ILLusions,36ltVroxdokt4IVqNh4EEO,55,0.334,0.739,256227,0.489,0.00571,C,0.0943,-6.56,Major,0.0335,96.013,4-Apr,0.78
1,Flatbush Zombies,The Glory (feat. Denzel Curry),58yJ902sAZLSNYzXKpyDM9,55,0.254,0.595,349598,0.578,0,C#,0.37,-10.715,Major,0.581,81.613,4-Apr,0.368
1,Higher Brothers,Do It Like Me (feat. JID),6wmtkJ9v4aEWNAQ38inzxJ,56,0.00526,0.862,157714,0.647,0,A#,0.112,-5.485,Major,0.251,139.851,4-Apr,0.254
1,Joey Bada$$,500 Benz,2KaRk8KFLzdiwHSZCG7zgV,56,0.186,0.676,201818,0.763,1.92E-06,B,0.107,-7.604,Minor,0.198,87.967,4-Apr,0.624
1,Smokepurpp,But I Still Respect Women,73Y1xzpGxg1Wic4wqr3ZUa,57,0.386,0.808,112941,0.543,0,D,0.118,-8.498,Minor,0.222,76.495,4-Apr,0.304
1,Mike WiLL Made-It,Aries (YuGo) (feat. Pharrell & Station Wagon P),59LUh4amaXhgrWh6mWKbCn,58,0.0107,0.853,271752,0.635,0,E,0.325,-3.82,Minor,0.0405,141.982,4-Apr,0.174
1,Logic,Mos Definitely,53LkLW4k4w7EOayzvx70O9,55,0.0978,0.604,206293,0.872,0,A#,0.121,-4.01,Minor,0.288,64.331,4-Apr,0.732
1,2 Chainz,Saturday Night,5zlSTZhZq6rXL4Xn2PBayO,54,0.452,0.644,271187,0.805,1.00E-05,C,0.11,-4.513,Minor,0.0975,115.915,4-Apr,0.461
1,Mac Miller,Cut The Check (feat. Chief Keef),6U1ueRYXTjFHuJ9Ld2LBIW,55,0.0596,0.832,170707,0.743,0,C#,0.257,-6.706,Major,0.228,100.004,4-Apr,0.522
1,Benny Benni,"Maliante Hp (Remix) [feat. Anuel Aa, Farruko, Almighty, Darkiel, Bryant Myers, Nio Garcia & Noriel]",3HM8I6kvuUF4aOCbSr9Mn5,61,0.294,0.746,371232,0.872,0,A,0.223,-3.62,Major,0.149,86.242,4-Apr,0.889
1,Tory Lanez,48 Floors (feat. Mansa),36wy8sKYBYQKdOBeqA5F0U,56,0.725,0.443,223587,0.47,1.06E-06,A#,0.101,-8.587,Major,0.101,82.546,4-Apr,0.483
1,BROCKHAMPTON,STUPID,01oc1NWevpGhtCkiX5flPH,57,0.117,0.773,216715,0.489,0,E,0.163,-6.025,Major,0.141,69.985,4-Apr,0.596
1,Monte Booker,Kolors ft. Smino,0l2c1Mkdi8BbcDFDuTpHjA,56,0.266,0.715,177856,0.396,2.07E-06,D,0.228,-11.057,Minor,0.199,129.537,4-Apr,0.64
1,LL Cool J,Around The Way Girl,6jL1SnyXcXiKOmw4M2RnmT,52,0.00268,0.614,248493,0.445,0.0194,C#,0.335,-17.091,Minor,0.424,202.191,4-Apr,0.626
1,Dru Hill,These Are The Times,0OMmiWMwsCNtpQ5aP6fdp9,58,0.13,0.717,249507,0.483,0,A,0.0866,-9.314,Minor,0.0284,109.961,4-Apr,0.352
1,The Notorious B.I.G.,Ready To Die,3UQAKY0SUEonxneROvv4jy,57,0.0633,0.724,264547,0.841,3.68E-05,F#,0.487,-5.713,Major,0.309,84.991,4-Apr,0.476
1,Gunna,No Joke,4W5byotweS3Lb8TwthFjjW,57,0.0926,0.873,195097,0.404,2.23E-06,C#,0.104,-9.726,Minor,0.519,77.52,4-Apr,0.193
1,Wisin,Vacaciones,1rXojdsUqqxGj2WCmJGWHP,71,0.246,0.777,238813,0.911,0,F#,0.257,-3.223,Minor,0.173,96.017,4-Apr,0.704
1,Logic,Never Enough,3s7SAlA1NPlgddOxZEwmm6,54,0.0382,0.677,262560,0.865,0,A,0.228,-4.254,Minor,0.0604,136.996,4-Apr,0.622
1,Lecrae,Blessings,56vMywhKow2JM8lW6iLn7x,56,0.00373,0.753,231053,0.609,0,C,0.347,-4.381,Major,0.117,140.304,4-Apr,0.439
1,"Royce Da 5'9""",Cocaine,7ssUSWeSEosoWPy4aac57x,57,0.131,0.725,213692,0.573,2.17E-06,C#,0.0892,-4.193,Major,0.137,86.002,4-Apr,0.205
1,Aminé,STFU2,05tCaHe9yHLjO2qnXScDNV,56,0.463,0.787,104493,0.54,0.000497,D,0.135,-8.05,Major,0.513,80.03,4-Apr,0.636
1,Fetty Wap,Strawberry Kush,0rNfyVTVLk6kIjLSKQmwXl,54,0.207,0.851,144370,0.592,0,C,0.117,-6.395,Major,0.0752,153.223,4-Apr,0.799
1,Dizzy Wright,Looking Up (feat. Euroz),2dH2t9LZsMMTxn5fOcQ4tp,55,0.05,0.678,207640,0.585,0,C#,0.226,-6.906,Minor,0.239,88.939,4-Apr,0.339
1,Kevin Gates,Satellites,3Bn0LhS6zBCenar7WO6yTX,52,0.0473,0.713,221600,0.886,0,A#,0.168,-3.879,Minor,0.12,140.032,4-Apr,0.775
